"Дата" "Нетна стойност"
2022.09.27 100.0
2022.09.29 99.9239
2022.09.30 100.2546
2022.10.03 100.2419
2022.10.04 107.9727
2022.10.05 107.3295
2022.10.06 108.6022
2022.10.07 107.757
2022.10.10 107.443
2022.10.11 105.55
2022.10.12 105.5244
2022.10.13 107.1885
2022.10.14 103.7864
2022.10.17 105.4456
2022.10.18 104.7361
2022.10.19 105.6848
2022.10.20 105.485
2022.10.21 108.5827
2022.10.24 107.82
2022.10.25 109.5651
2022.10.26 110.4432
2022.10.27 109.9787
2022.10.28 110.5241
2022.10.31 112.3306
2022.11.01 113.1638
2022.11.02 110.2612
2022.11.03 111.9573
2022.11.04 115.5687
2022.11.07 116.3681
2022.11.08 115.718
2022.11.09 107.7619
2022.11.10 112.2381
2022.11.11 111.7204
2022.11.14 109.9263
2022.11.15 110.0611
2022.11.16 107.6426
2022.11.17 106.9324
2022.11.18 105.8295
2022.11.21 106.4274
2022.11.22 109.3165
2022.11.23 108.4133
2022.11.24 107.727
2022.11.25 107.184
2022.11.28 103.5892
2022.11.29 107.104
2022.11.30 109.1067
2022.12.01 107.4568
2022.12.02 107.3612
2022.12.05 102.8273
2022.12.06 100.7458
2022.12.07 99.7624
2022.12.08 98.9093
2022.12.09 97.0681
2022.12.12 98.4079
2022.12.13 100.5494
2022.12.14 98.7291
2022.12.15 97.8831
2022.12.16 96.4548
2022.12.19 94.9634
2022.12.20 96.119
2022.12.21 98.9011
2022.12.22 96.2614
2022.12.23 98.7829
2022.12.29 97.1576
2023.01.03 97.7368
2023.01.04 94.0182
2023.01.05 94.1540
2023.01.06 94.5146
2023.01.09 97.1024
2023.01.10 99.1218
2023.01.11 99.4285
2023.01.12 99.9409
2023.01.13 102.0669
2023.01.16 102.8310
2023.01.17 102.8693
2023.01.18 103.5879
2023.01.19 102.1414
2023.01.20 102.3059
2023.01.23 103.8721
2023.01.24 104.8958
2023.01.25 103.9059
2023.01.26 104.0252
2023.01.27 104.7409
2023.01.30 104.8646
2023.01.31 103.4084
2023.02.02 103.2281
2023.02.07 103.8267
2023.02.08 103.4915
2023.02.09 102.1902
2023.02.10 103.4900
2023.02.13 103.6947
2023.02.14 104.6953
2023.02.15 103.6598
2023.02.16 103.7577
2023.02.17 100.1883
2023.02.20 100.4634
2023.02.21 98.1139
2023.02.22 96.5012
2023.02.23 98.7353
2023.02.24 99.6354
2023.02.27 101.1968
2023.02.28 101.6565
2023.03.01 103.8991
2023.03.02 105.2563
2023.03.06 105.3009
2023.03.07 102.5606
2023.03.08 102.2020
2023.03.09 99.0741
2023.03.10 97.2304
2023.03.13 94.7521
2023.03.14 95.9228
2023.03.15 89.3547
2023.03.16 90.2533
2023.03.17 89.9298
2023.03.20 91.5130
2023.03.21 93.8098
2023.03.22 92.6815
2023.03.23 91.8559
2023.03.24 91.0502
2023.03.27 93.3252
2023.03.28 95.6032
2023.03.29 96.3109
2023.03.30 96.7357
2023.03.31 97.0560
2023.04.03 100.2067
2023.04.04 99.0086
2023.04.05 98.2111
2023.04.06 97.2629
2023.04.07 97.2261
2023.04.10 97.7179
2023.04.11 98.6530
2023.04.12 99.0261
2023.04.13 100.0936
2023.04.18 99.6238
